,colors,gene_id,gene_name,gene_type,receptor
5023,turquoise,ENSG00000126106,TMEM53,gene with protein product,
5024,blue,ENSG00000248098,BCKDHA,gene with protein product,
5025,brown,ENSG00000143222,UFC1,gene with protein product,
5026,yellow,ENSG00000111642,CHD4,gene with protein product,
5027,turquoise,ENSG00000008838,MED24,gene with protein product,
5028,lightyellow,ENSG00000140497,SCAMP2,gene with protein product,
5029,turquoise,ENSG00000104957,YJU2B,gene with protein product,
5030,blue,ENSG00000126581,BECN1,gene with protein product,
5031,blue,ENSG00000159131,GART,gene with protein product,
5032,grey,ENSG00000134760,DSG1,gene with protein product,
5033,grey,ENSG00000148935,GAS2,gene with protein product,
5034,brown,ENSG00000133740,E2F5,gene with protein product,
5035,turquoise,ENSG00000141867,BRD4,gene with protein product,
5036,yellow,ENSG00000077235,GTF3C1,gene with protein product,
5037,midnightblue,ENSG00000139291,TMEM19,gene with protein product,
5038,brown,ENSG00000153774,CFDP1,gene with protein product,
5039,cyan,ENSG00000091640,SPAG7,gene with protein product,
5040,green,ENSG00000116918,TSNAX,gene with protein product,
5041,turquoise,ENSG00000167799,NUDT8,gene with protein product,
5042,black,ENSG00000262160,,,
5043,grey,ENSG00000107262,BAG1,gene with protein product,
5044,grey,ENSG00000170899,GSTA4,gene with protein product,
5045,yellow,ENSG00000088247,KHSRP,gene with protein product,
5046,paleturquoise,ENSG00000124177,CHD6,gene with protein product,
5047,green,ENSG00000111832,RWDD1,gene with protein product,
5048,blue,ENSG00000189233,NUGGC,gene with protein product,
5049,yellow,ENSG00000167291,TBC1D16,gene with protein product,
5050,cyan,ENSG00000116586,LAMTOR2,gene with protein product,
5051,yellow,ENSG00000157954,WIPI2,gene with protein product,
5052,grey,ENSG00000111328,CDK2AP1,gene with protein product,
5053,lightyellow,ENSG00000066135,KDM4A,gene with protein product,
5054,cyan,ENSG00000185591,SP1,gene with protein product,
5055,yellow,ENSG00000172731,LRRC20,gene with protein product,
5056,blue,ENSG00000133028,SCO1,gene with protein product,
5057,turquoise,ENSG00000158321,AUTS2,gene with protein product,
5058,black,ENSG00000214026,MRPL23,gene with protein product,
5059,purple,ENSG00000112200,ZNF451,gene with protein product,
5060,blue,ENSG00000175792,RUVBL1,gene with protein product,
5061,green,ENSG00000175606,TMEM70,gene with protein product,
5062,yellow,ENSG00000073008,PVR,gene with protein product,
5063,blue,ENSG00000255730,,,
5064,brown,ENSG00000162402,USP24,gene with protein product,
5065,turquoise,ENSG00000198728,LDB1,gene with protein product,
5066,yellow,ENSG00000172046,USP19,gene with protein product,
5067,yellow,ENSG00000123064,DDX54,gene with protein product,
5068,red,ENSG00000180776,ZDHHC20,gene with protein product,
5069,blue,ENSG00000196850,PPTC7,gene with protein product,
5070,grey,ENSG00000177885,GRB2,gene with protein product,
5071,blue,ENSG00000066777,ARFGEF1,gene with protein product,
5072,turquoise,ENSG00000163251,FZD5,gene with protein product,"G protein-coupled receptors, Class F frizzled"
5073,grey,ENSG00000142188,TMEM50B,gene with protein product,
5074,turquoise,ENSG00000113163,CERT1,gene with protein product,
5075,red,ENSG00000064726,BTBD1,gene with protein product,
5076,blue,ENSG00000258466,,,
5077,lightcyan,ENSG00000267680,ZNF224,gene with protein product,
5078,turquoise,ENSG00000184787,UBE2G2,gene with protein product,
5079,black,ENSG00000075975,MKRN2,gene with protein product,
5080,brown,ENSG00000170855,TRIAP1,gene with protein product,
5081,blue,ENSG00000164961,WASHC5,gene with protein product,
5082,pink,ENSG00000242028,HYPK,gene with protein product,
5083,turquoise,ENSG00000077380,DYNC1I2,gene with protein product,
5084,green,ENSG00000170011,MYRIP,gene with protein product,
5085,green,ENSG00000092108,SCFD1,gene with protein product,
5086,blue,ENSG00000101193,GID8,gene with protein product,
5087,grey,ENSG00000158473,CD1D,gene with protein product,
5088,grey,ENSG00000021355,SERPINB1,gene with protein product,
5089,brown,ENSG00000177410,ZFAS1,"RNA, long non-coding",
5090,tan,ENSG00000091490,SEL1L3,gene with protein product,
5091,blue,ENSG00000166889,PATL1,gene with protein product,
5092,magenta,ENSG00000264235,MYL12-AS1,"RNA, long non-coding",
5093,grey,ENSG00000135917,SLC19A3,gene with protein product,
5094,blue,ENSG00000124201,ZNFX1,gene with protein product,
5095,turquoise,ENSG00000069974,RAB27A,gene with protein product,
5096,turquoise,ENSG00000125534,PPDPF,gene with protein product,
5097,brown,ENSG00000168958,MFF,gene with protein product,
5098,turquoise,ENSG00000139636,LMBR1L,gene with protein product,
5099,grey,ENSG00000151276,MAGI1,gene with protein product,
5100,yellow,ENSG00000197150,ABCB8,gene with protein product,
5101,pink,ENSG00000124733,MEA1,gene with protein product,
5102,yellow,ENSG00000157978,LDLRAP1,gene with protein product,
5103,turquoise,ENSG00000134452,FBH1,gene with protein product,
5104,yellow,ENSG00000135916,ITM2C,gene with protein product,
5105,turquoise,ENSG00000010295,IFFO1,gene with protein product,
5106,grey,ENSG00000178381,ZFAND2A,gene with protein product,
5107,brown,ENSG00000180964,TCEAL8,gene with protein product,
5108,darkgreen,ENSG00000288886,,,
5109,turquoise,ENSG00000103653,CSK,gene with protein product,
5110,brown,ENSG00000159023,EPB41,gene with protein product,
5111,purple,ENSG00000117010,ZNF684,gene with protein product,
5112,tan,ENSG00000111912,NCOA7,gene with protein product,
5113,turquoise,ENSG00000141560,FN3KRP,gene with protein product,
5114,turquoise,ENSG00000006194,ZNF263,gene with protein product,
5115,green,ENSG00000100196,KDELR3,gene with protein product,KDEL endoplasmic reticulum protein retention receptors
5116,greenyellow,ENSG00000064989,CALCRL,gene with protein product,Calcitonin receptors
5117,grey,ENSG00000149089,APIP,gene with protein product,
5118,lightyellow,ENSG00000065526,SPEN,gene with protein product,
5119,blue,ENSG00000235191,NUCB1-AS1,"RNA, long non-coding",
5120,brown,ENSG00000107949,BCCIP,gene with protein product,
5121,red,ENSG00000062650,WAPL,gene with protein product,
5122,darkgrey,ENSG00000135720,DYNC1LI2,gene with protein product,
5123,turquoise,ENSG00000095574,IKZF5,gene with protein product,
5124,turquoise,ENSG00000079277,MKNK1,gene with protein product,
5125,grey,ENSG00000186594,MIR22HG,"RNA, long non-coding",
5126,grey,ENSG00000145833,DDX46,gene with protein product,
5127,red,ENSG00000071189,SNX13,gene with protein product,
5128,salmon,ENSG00000119487,MAPKAP1,gene with protein product,
5129,turquoise,ENSG00000126883,NUP214,gene with protein product,
5130,green,ENSG00000057663,ATG5,gene with protein product,
5131,red,ENSG00000130340,SNX9,gene with protein product,
5132,turquoise,ENSG00000141985,SH3GL1,gene with protein product,
5133,red,ENSG00000107164,FUBP3,gene with protein product,
5134,skyblue,ENSG00000122126,OCRL,gene with protein product,
5135,blue,ENSG00000169856,ONECUT1,gene with protein product,
5136,steelblue,ENSG00000163659,TIPARP,gene with protein product,
5137,red,ENSG00000124164,VAPB,gene with protein product,
5138,turquoise,ENSG00000280306,,,
5139,grey,ENSG00000168092,PAFAH1B2,gene with protein product,
5140,grey,ENSG00000150938,CRIM1,gene with protein product,
5141,grey,ENSG00000105993,DNAJB6,gene with protein product,
5142,grey,ENSG00000163346,PBXIP1,gene with protein product,
5143,grey,ENSG00000125863,MKKS,gene with protein product,
5144,brown,ENSG00000263465,SRSF8,gene with protein product,
5145,royalblue,ENSG00000196352,CD55,gene with protein product,
5146,lightyellow,ENSG00000015676,NUDCD3,gene with protein product,
5147,turquoise,ENSG00000162572,SCNN1D,gene with protein product,
5148,green,ENSG00000134717,BTF3L4,gene with protein product,
5149,grey,ENSG00000148942,SLC5A12,gene with protein product,
5150,turquoise,ENSG00000187664,HAPLN4,gene with protein product,
5151,red,ENSG00000164187,LMBRD2,gene with protein product,
5152,grey,ENSG00000113648,MACROH2A1,gene with protein product,
5153,grey,ENSG00000269190,FBXO17,gene with protein product,
5154,grey,ENSG00000228291,ARL4AP3,pseudogene,
5155,turquoise,ENSG00000180921,FAM83H,gene with protein product,
5156,turquoise,ENSG00000124920,MYRF,gene with protein product,
5157,black,ENSG00000160799,CCDC12,gene with protein product,
5158,turquoise,ENSG00000163945,UVSSA,gene with protein product,
5159,grey,ENSG00000115361,ACADL,gene with protein product,
5160,blue,ENSG00000152484,USP12,gene with protein product,
5161,grey,ENSG00000148468,FAM171A1,gene with protein product,
5162,turquoise,ENSG00000130309,COLGALT1,gene with protein product,
5163,red,ENSG00000139977,NAA30,gene with protein product,
5164,turquoise,ENSG00000197323,TRIM33,gene with protein product,
5165,brown,ENSG00000148481,MINDY3,gene with protein product,
5166,grey,ENSG00000214944,ARHGEF28,gene with protein product,
5167,black,ENSG00000182149,IST1,gene with protein product,
5168,green,ENSG00000135525,MAP7,gene with protein product,
5169,grey,ENSG00000284292,,,
5170,grey,ENSG00000117595,IRF6,gene with protein product,
5171,grey,ENSG00000112234,FBXL4,gene with protein product,
5172,turquoise,ENSG00000117411,B4GALT2,gene with protein product,
5173,black,ENSG00000104320,NBN,gene with protein product,
5174,greenyellow,ENSG00000125810,CD93,gene with protein product,
5175,grey,ENSG00000120889,TNFRSF10B,gene with protein product,
5176,royalblue,ENSG00000255112,CHMP1B,gene with protein product,
5177,grey,ENSG00000126368,NR1D1,gene with protein product,Nuclear receptor subfamily 1 group D
5178,turquoise,ENSG00000103257,SLC7A5,gene with protein product,
5179,turquoise,ENSG00000104812,GYS1,gene with protein product,
5180,yellow,ENSG00000181090,EHMT1,gene with protein product,
5181,turquoise,ENSG00000197272,IL27,gene with protein product,
5182,yellow,ENSG00000103512,NOMO1,gene with protein product,
5183,turquoise,ENSG00000149313,AASDHPPT,gene with protein product,
5184,turquoise,ENSG00000285513,,,
5185,turquoise,ENSG00000127419,TMEM175,gene with protein product,
5186,turquoise,ENSG00000165322,ARHGAP12,gene with protein product,
5187,turquoise,ENSG00000136878,USP20,gene with protein product,
5188,turquoise,ENSG00000206560,ANKRD28,gene with protein product,
5189,turquoise,ENSG00000134987,WDR36,gene with protein product,
5190,turquoise,ENSG00000279457,WASH9P,pseudogene,
5191,greenyellow,ENSG00000173918,C1QTNF1,gene with protein product,
5192,lightgreen,ENSG00000156398,SFXN2,gene with protein product,
5193,green,ENSG00000151247,EIF4E,gene with protein product,
5194,turquoise,ENSG00000067836,ROGDI,gene with protein product,
5195,salmon,ENSG00000261796,ISY1-RAB43,readthrough,
5196,grey,ENSG00000151729,SLC25A4,gene with protein product,
5197,black,ENSG00000256007,ARAP1-AS1,"RNA, long non-coding",
5198,turquoise,ENSG00000213523,SRA1,gene with protein product,
5199,turquoise,ENSG00000215305,VPS16,gene with protein product,
5200,blue,ENSG00000108021,TASOR2,gene with protein product,
5201,black,ENSG00000268565,,,
5202,grey,ENSG00000105810,CDK6,gene with protein product,
5203,grey,ENSG00000105974,CAV1,gene with protein product,
5204,turquoise,ENSG00000126261,UBA2,gene with protein product,
5205,yellow,ENSG00000149136,SSRP1,gene with protein product,
5206,grey,ENSG00000135052,GOLM1,gene with protein product,
5207,pink,ENSG00000137288,UQCC2,gene with protein product,
5208,grey,ENSG00000176225,RTTN,gene with protein product,
5209,turquoise,ENSG00000179085,DPM3,gene with protein product,
5210,blue,ENSG00000140992,PDPK1,gene with protein product,
5211,turquoise,ENSG00000204301,NOTCH4,gene with protein product,Notch receptors
5212,turquoise,ENSG00000225663,MCRIP1,gene with protein product,
5213,darkgrey,ENSG00000154767,XPC,gene with protein product,
5214,grey,ENSG00000164080,RAD54L2,gene with protein product,
5215,brown,ENSG00000258644,SYNJ2BP-COX16,readthrough,
5216,pink,ENSG00000026103,FAS,gene with protein product,
5217,turquoise,ENSG00000115275,MOGS,gene with protein product,
5218,green,ENSG00000156017,CARNMT1,gene with protein product,
5219,yellow,ENSG00000131732,ZCCHC9,gene with protein product,
5220,pink,ENSG00000141741,MIEN1,gene with protein product,
5221,brown,ENSG00000177182,CLVS1,gene with protein product,
5222,turquoise,ENSG00000147027,TMEM47,gene with protein product,
5223,brown,ENSG00000168002,POLR2G,gene with protein product,
5224,turquoise,ENSG00000170802,FOXN2,gene with protein product,
5225,turquoise,ENSG00000068308,OTUD5,gene with protein product,
5226,turquoise,ENSG00000137337,MDC1,gene with protein product,
5227,red,ENSG00000135776,ABCB10,gene with protein product,
5228,turquoise,ENSG00000165269,AQP7,gene with protein product,
5229,brown,ENSG00000173482,PTPRM,gene with protein product,
5230,skyblue,ENSG00000160584,SIK3,gene with protein product,
5231,blue,ENSG00000054793,ATP9A,gene with protein product,
5232,turquoise,ENSG00000139546,TARBP2,gene with protein product,
5233,yellow,ENSG00000188986,NELFB,gene with protein product,
5234,turquoise,ENSG00000204348,DXO,gene with protein product,
5235,pink,ENSG00000146066,HIGD2A,gene with protein product,
5236,turquoise,ENSG00000131759,RARA,gene with protein product,Retinoic acid receptors
5237,brown,ENSG00000170293,CMTM8,gene with protein product,
5238,red,ENSG00000065613,SLK,gene with protein product,
5239,salmon,ENSG00000008441,NFIX,gene with protein product,
5240,green,ENSG00000120697,ALG5,gene with protein product,
5241,yellow,ENSG00000176087,SLC35A4,gene with protein product,
5242,grey,ENSG00000241224,C3orf85,gene with protein product,
5243,cyan,ENSG00000161939,RNASEK-C17orf49,readthrough,
5244,blue,ENSG00000140718,FTO,gene with protein product,
5245,brown,ENSG00000139351,SYCP3,gene with protein product,
5246,blue,ENSG00000104213,PDGFRL,gene with protein product,
5247,blue,ENSG00000101596,SMCHD1,gene with protein product,
5248,yellow,ENSG00000108312,UBTF,gene with protein product,
5249,lightcyan,ENSG00000232593,KANTR,gene with protein product,
5250,midnightblue,ENSG00000100347,SAMM50,gene with protein product,
5251,turquoise,ENSG00000249201,TERLR1,"RNA, long non-coding",
5252,turquoise,ENSG00000107021,TBC1D13,gene with protein product,
5253,blue,ENSG00000150712,MTMR12,gene with protein product,
5254,yellow,ENSG00000168140,VASN,gene with protein product,
5255,turquoise,ENSG00000114745,GORASP1,gene with protein product,
5256,tan,ENSG00000138131,LOXL4,gene with protein product,Scavenger receptor cysteine rich domain containing
5257,turquoise,ENSG00000161202,DVL3,gene with protein product,
5258,black,ENSG00000182472,CAPN12,gene with protein product,
5259,grey,ENSG00000037474,NSUN2,gene with protein product,
5260,lightyellow,ENSG00000116698,SMG7,gene with protein product,
5261,black,ENSG00000116478,HDAC1,gene with protein product,
5262,green,ENSG00000177889,UBE2N,gene with protein product,
5263,turquoise,ENSG00000134108,ARL8B,gene with protein product,
5264,turquoise,ENSG00000105393,BABAM1,gene with protein product,
5265,brown,ENSG00000008324,SS18L2,gene with protein product,
5266,blue,ENSG00000104517,UBR5,gene with protein product,
5267,salmon,ENSG00000270316,BORCS7-ASMT,readthrough,
5268,turquoise,ENSG00000171853,TRAPPC12,gene with protein product,
5269,lightcyan,ENSG00000113971,NPHP3,gene with protein product,
5270,brown,ENSG00000214413,BBIP1,gene with protein product,
5271,grey,ENSG00000135930,EIF4E2,gene with protein product,
5272,yellow,ENSG00000108592,FTSJ3,gene with protein product,
5273,greenyellow,ENSG00000116906,GNPAT,gene with protein product,
5274,brown,ENSG00000177971,IMP3,gene with protein product,
5275,cyan,ENSG00000246705,H2AJ,gene with protein product,
5276,salmon,ENSG00000225968,ELFN1,gene with protein product,
5277,turquoise,ENSG00000164463,CREBRF,gene with protein product,
5278,grey,ENSG00000147535,PLPP5,gene with protein product,
5279,grey,ENSG00000166783,MARF1,gene with protein product,
5280,brown,ENSG00000172086,KRCC1,gene with protein product,
5281,violet,ENSG00000169629,RGPD8,gene with protein product,
5282,turquoise,ENSG00000186567,CEACAM19,gene with protein product,
5283,green,ENSG00000083937,CHMP2B,gene with protein product,
5284,turquoise,ENSG00000269335,IKBKG,gene with protein product,
5285,turquoise,ENSG00000085872,CHERP,gene with protein product,
5286,grey,ENSG00000181656,GPR88,gene with protein product,"G protein-coupled receptors, Class A orphans"
5287,turquoise,ENSG00000103495,MAZ,gene with protein product,
5288,yellow,ENSG00000136717,BIN1,gene with protein product,
5289,yellow,ENSG00000140199,SLC12A6,gene with protein product,
5290,pink,ENSG00000230202,RPL29P4,pseudogene,
5291,red,ENSG00000004897,CDC27,gene with protein product,
5292,turquoise,ENSG00000145740,SLC30A5,gene with protein product,
5293,blue,ENSG00000103047,TANGO6,gene with protein product,
5294,brown,ENSG00000174547,MRPL11,gene with protein product,
5295,grey,ENSG00000127947,PTPN12,gene with protein product,Protein tyrosine phosphatases non-receptor type
5296,turquoise,ENSG00000025770,NCAPH2,gene with protein product,
5297,lightgreen,ENSG00000122779,TRIM24,gene with protein product,
5298,brown,ENSG00000182093,GET1,gene with protein product,
5299,brown,ENSG00000104231,ZFAND1,gene with protein product,
5300,turquoise,ENSG00000164327,RICTOR,gene with protein product,
5301,saddlebrown,ENSG00000243466,IGKV1-5,immunoglobulin gene,
5302,turquoise,ENSG00000165684,SNAPC4,gene with protein product,
5303,blue,ENSG00000229005,HNF4A-AS1,"RNA, long non-coding",
5304,brown,ENSG00000180875,GREM2,gene with protein product,
5305,turquoise,ENSG00000178567,EPM2AIP1,gene with protein product,
5306,green,ENSG00000117899,MESD,gene with protein product,
5307,yellow,ENSG00000121749,TBC1D15,gene with protein product,
5308,cyan,ENSG00000197822,OCLN,gene with protein product,
5309,turquoise,ENSG00000188070,ZFTA,gene with protein product,
5310,grey,ENSG00000020577,SAMD4A,gene with protein product,
5311,red,ENSG00000135241,PNPLA8,gene with protein product,
5312,turquoise,ENSG00000066136,NFYC,gene with protein product,
5313,red,ENSG00000109171,SLAIN2,gene with protein product,
5314,yellow,ENSG00000103549,RNF40,gene with protein product,
5315,magenta,ENSG00000101335,MYL9,gene with protein product,
5316,lightgreen,ENSG00000128313,APOL5,gene with protein product,
5317,magenta,ENSG00000130755,GMFG,gene with protein product,
5318,purple,ENSG00000005436,GCFC2,gene with protein product,
5319,blue,ENSG00000166197,NOLC1,gene with protein product,
5320,turquoise,ENSG00000118689,FOXO3,gene with protein product,
5321,green,ENSG00000164985,PSIP1,gene with protein product,
5322,turquoise,ENSG00000155744,HYCC2,gene with protein product,
5323,grey,ENSG00000006757,PNPLA4,gene with protein product,
5324,turquoise,ENSG00000228144,,,
5325,blue,ENSG00000198315,ZKSCAN8,gene with protein product,
5326,turquoise,ENSG00000274512,TBC1D3L,gene with protein product,
5327,yellow,ENSG00000007923,DNAJC11,gene with protein product,
5328,yellowgreen,ENSG00000138835,RGS3,gene with protein product,
5329,red,ENSG00000173744,AGFG1,gene with protein product,
5330,green,ENSG00000065882,TBC1D1,gene with protein product,
5331,turquoise,ENSG00000091436,MAP3K20,gene with protein product,
5332,blue,ENSG00000132155,RAF1,gene with protein product,
5333,lightcyan,ENSG00000134287,ARF3,gene with protein product,
5334,turquoise,ENSG00000034677,RNF19A,gene with protein product,
5335,greenyellow,ENSG00000168615,ADAM9,gene with protein product,
5336,yellow,ENSG00000180104,EXOC3,gene with protein product,
5337,turquoise,ENSG00000136630,HLX,gene with protein product,
5338,turquoise,ENSG00000171148,TADA3,gene with protein product,
5339,red,ENSG00000155304,HSPA13,gene with protein product,
5340,turquoise,ENSG00000085465,OVGP1,gene with protein product,
5341,blue,ENSG00000006007,GDE1,gene with protein product,
5342,blue,ENSG00000165934,CPSF2,gene with protein product,
5343,grey,ENSG00000171617,ENC1,gene with protein product,
5344,pink,ENSG00000062582,MRPS24,gene with protein product,
5345,grey,ENSG00000182197,EXT1,gene with protein product,
5346,brown,ENSG00000140941,MAP1LC3B,gene with protein product,
5347,turquoise,ENSG00000103496,STX4,gene with protein product,
5348,turquoise,ENSG00000104907,TRMT1,gene with protein product,
5349,grey,ENSG00000010278,CD9,gene with protein product,
5350,yellow,ENSG00000134882,UBAC2,gene with protein product,
5351,turquoise,ENSG00000169062,UPF3A,gene with protein product,
5352,black,ENSG00000263276,,,
5353,yellow,ENSG00000100266,PACSIN2,gene with protein product,
5354,blue,ENSG00000253710,ALG11,gene with protein product,
5355,greenyellow,ENSG00000143344,RGL1,gene with protein product,
5356,magenta,ENSG00000137959,IFI44L,gene with protein product,
5357,blue,ENSG00000037749,MFAP3,gene with protein product,
5358,red,ENSG00000108061,SHOC2,gene with protein product,
5359,grey,ENSG00000204257,HLA-DMA,gene with protein product,
5360,grey,ENSG00000093000,NUP50,gene with protein product,
5361,pink,ENSG00000100142,POLR2F,gene with protein product,
5362,cyan,ENSG00000259417,CTXND1,gene with protein product,
5363,magenta,ENSG00000175567,UCP2,gene with protein product,
5364,salmon,ENSG00000127418,FGFRL1,gene with protein product,
5365,turquoise,ENSG00000122678,POLM,gene with protein product,
5366,blue,ENSG00000180346,TIGD2,gene with protein product,
5367,blue,ENSG00000267009,,,
5368,grey,ENSG00000125347,IRF1,gene with protein product,
5369,turquoise,ENSG00000100033,PRODH,gene with protein product,
5370,turquoise,ENSG00000164751,PEX2,gene with protein product,
5371,greenyellow,ENSG00000093072,ADA2,gene with protein product,
5372,brown,ENSG00000100226,GTPBP1,gene with protein product,
5373,blue,ENSG00000132128,LRRC41,gene with protein product,
5374,turquoise,ENSG00000106799,TGFBR1,gene with protein product,Type 1 receptor serine/threonine kinases
5375,brown,ENSG00000144785,,,
5376,blue,ENSG00000163625,WDFY3,gene with protein product,
5377,orange,ENSG00000221890,NPTXR,gene with protein product,
5378,green,ENSG00000124532,MRS2,gene with protein product,
5379,turquoise,ENSG00000059378,PARP12,gene with protein product,
5380,blue,ENSG00000146433,TMEM181,gene with protein product,
5381,grey,ENSG00000146859,TMEM140,gene with protein product,
5382,black,ENSG00000258430,,,
5383,brown,ENSG00000183230,CTNNA3,gene with protein product,
5384,purple,ENSG00000111731,C2CD5,gene with protein product,
5385,greenyellow,ENSG00000105609,LILRB5,gene with protein product,
5386,brown,ENSG00000081870,IFT25,gene with protein product,
5387,green,ENSG00000162972,MAIP1,gene with protein product,
5388,brown,ENSG00000003393,ALS2,gene with protein product,
5389,blue,ENSG00000165282,PIGO,gene with protein product,
5390,pink,ENSG00000239672,NME1,gene with protein product,
5391,black,ENSG00000183495,EP400,gene with protein product,
5392,red,ENSG00000139517,LNX2,gene with protein product,
5393,lightyellow,ENSG00000223501,VPS52,gene with protein product,
5394,violet,ENSG00000163697,APBB2,gene with protein product,
5395,brown,ENSG00000187118,CMC1,gene with protein product,
5396,purple,ENSG00000096717,SIRT1,gene with protein product,
5397,turquoise,ENSG00000068400,GRIPAP1,gene with protein product,
5398,grey,ENSG00000065427,KARS1,gene with protein product,
5399,red,ENSG00000178996,SNX18,gene with protein product,
5400,yellow,ENSG00000183513,COA5,gene with protein product,
5401,grey,ENSG00000004399,PLXND1,gene with protein product,
5402,blue,ENSG00000108055,SMC3,gene with protein product,
5403,cyan,ENSG00000160087,UBE2J2,gene with protein product,
5404,turquoise,ENSG00000039123,MTREX,gene with protein product,
5405,lightgreen,ENSG00000163597,SNHG16,"RNA, long non-coding",
5406,brown,ENSG00000151287,TEX30,gene with protein product,
5407,brown,ENSG00000197885,NKIRAS1,gene with protein product,
5408,green,ENSG00000165487,MICU2,gene with protein product,
5409,brown,ENSG00000269713,NBPF9,gene with protein product,
5410,yellow,ENSG00000162104,ADCY9,gene with protein product,
5411,grey,ENSG00000138771,SHROOM3,gene with protein product,
5412,royalblue,ENSG00000188042,ARL4C,gene with protein product,
5413,turquoise,ENSG00000175550,DRAP1,gene with protein product,
5414,red,ENSG00000205269,TMEM170B,gene with protein product,
5415,turquoise,ENSG00000132522,GPS2,gene with protein product,
5416,skyblue,ENSG00000116580,GON4L,gene with protein product,
5417,red,ENSG00000144021,CIAO1,gene with protein product,
5418,grey,ENSG00000068305,MEF2A,gene with protein product,
5419,black,ENSG00000075413,MARK3,gene with protein product,
5420,green,ENSG00000111711,GOLT1B,gene with protein product,
5421,turquoise,ENSG00000108469,RECQL5,gene with protein product,
5422,turquoise,ENSG00000133678,TMEM254,gene with protein product,
5423,blue,ENSG00000139697,SBNO1,gene with protein product,
5424,black,ENSG00000108381,ASPA,gene with protein product,
5425,yellowgreen,ENSG00000267727,,,
5426,turquoise,ENSG00000088833,NSFL1C,gene with protein product,
5427,turquoise,ENSG00000254452,,,
5428,grey,ENSG00000159307,SCUBE1,gene with protein product,
5429,brown,ENSG00000100138,SNU13,gene with protein product,
5430,yellow,ENSG00000116661,FBXO2,gene with protein product,
5431,green,ENSG00000198160,MIER1,gene with protein product,
5432,red,ENSG00000166266,CUL5,gene with protein product,
5433,salmon,ENSG00000172780,RAB43,gene with protein product,
5434,pink,ENSG00000270617,URGCP-MRPS24,readthrough,
5435,turquoise,ENSG00000089060,SLC8B1,gene with protein product,
5436,black,ENSG00000102572,STK24,gene with protein product,
5437,darkgreen,ENSG00000180425,C11orf71,gene with protein product,
5438,grey,ENSG00000173930,SLCO4C1,gene with protein product,
5439,grey,ENSG00000165478,HEPACAM,gene with protein product,
5440,salmon,ENSG00000055130,CUL1,gene with protein product,
5441,greenyellow,ENSG00000102755,FLT1,gene with protein product,
5442,midnightblue,ENSG00000108671,PSMD11,gene with protein product,
5443,grey,ENSG00000172345,STARD5,gene with protein product,
5444,turquoise,ENSG00000188313,PLSCR1,gene with protein product,
5445,turquoise,ENSG00000258471,,,
5446,blue,ENSG00000166454,ATMIN,gene with protein product,
5447,grey,ENSG00000146007,ZMAT2,gene with protein product,
5448,grey,ENSG00000081307,UBA5,gene with protein product,
5449,grey,ENSG00000168679,SLC16A4,gene with protein product,
5450,red,ENSG00000101966,XIAP,gene with protein product,
5451,turquoise,ENSG00000115073,ACTR1B,gene with protein product,
5452,red,ENSG00000118246,FASTKD2,gene with protein product,
5453,green,ENSG00000116266,STXBP3,gene with protein product,
5454,turquoise,ENSG00000137070,IL11RA,gene with protein product,
5455,blue,ENSG00000164944,VIRMA,gene with protein product,
5456,turquoise,ENSG00000119242,CCDC92,gene with protein product,
5457,green,ENSG00000047932,GOPC,gene with protein product,
5458,turquoise,ENSG00000157216,SSBP3,gene with protein product,
5459,pink,ENSG00000160194,NDUFV3,gene with protein product,
5460,turquoise,ENSG00000048392,RRM2B,gene with protein product,
5461,turquoise,ENSG00000125089,SH3TC1,gene with protein product,
5462,turquoise,ENSG00000182600,SNORC,gene with protein product,
5463,grey,ENSG00000143412,ANXA9,gene with protein product,
5464,saddlebrown,ENSG00000102466,FGF14,gene with protein product,
5465,grey60,ENSG00000197223,C1D,gene with protein product,
5466,turquoise,ENSG00000137496,IL18BP,gene with protein product,
5467,blue,ENSG00000224470,ATXN1L,gene with protein product,
5468,red,ENSG00000119844,AFTPH,gene with protein product,
5469,turquoise,ENSG00000198887,SMC5,gene with protein product,
5470,turquoise,ENSG00000139645,ANKRD52,gene with protein product,
5471,cyan,ENSG00000179632,MAF1,gene with protein product,
5472,blue,ENSG00000164190,NIPBL,gene with protein product,
5473,turquoise,ENSG00000179364,PACS2,gene with protein product,
5474,yellow,ENSG00000153714,LURAP1L,gene with protein product,
5475,yellow,ENSG00000148154,UGCG,gene with protein product,
5476,yellow,ENSG00000012232,EXTL3,gene with protein product,
5477,yellow,ENSG00000155508,CNOT8,gene with protein product,
5478,blue,ENSG00000092201,SUPT16H,gene with protein product,
5479,turquoise,ENSG00000213983,AP1G2,gene with protein product,
5480,turquoise,ENSG00000186919,ZACN,gene with protein product,
5481,paleturquoise,ENSG00000163728,TTC14,gene with protein product,
5482,turquoise,ENSG00000186212,SOWAHB,gene with protein product,
5483,blue,ENSG00000166938,DIS3L,gene with protein product,
5484,grey,ENSG00000088451,TGDS,gene with protein product,
5485,blue,ENSG00000167635,ZNF146,gene with protein product,
5486,turquoise,ENSG00000149743,TRPT1,gene with protein product,
5487,yellow,ENSG00000237188,,,
5488,blue,ENSG00000007168,PAFAH1B1,gene with protein product,
5489,grey,ENSG00000099901,RANBP1,gene with protein product,
5490,pink,ENSG00000256537,SMIM10L1,gene with protein product,
5491,turquoise,ENSG00000156860,FBRS,gene with protein product,
